código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020017";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA7";"BRADESCO 8100-0";"42";"20250228PHYYBI0QZJ3T";1;2;1
"1101020018";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;430464,620000;8106656,160000;8473138,290000;63982,490000;"M";"20171004OK5TX00OQZA8";"BANCO RENDIMENTO S.A.";"43";"20250228PHYYBI0QZJ3T";1;2;1
"1101020019";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA9";"SAFRA AG. 0028 C/C 018911-7";"44";"20250228PHYYBI0QZJ3T";1;2;1
"1101020020";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAA";"BANCO ITAU - C.C. 01578-4";"45";"20250228PHYYBI0QZJ3T";1;2;1
"1101020021";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAB";"ITAU 0845-56628-0";"46";"20250228PHYYBI0QZJ3T";1;2;1
"1101020022";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAC";"BANCO SANTANDER C/C 7130356418 AG. 3934";"47";"20250228PHYYBI0QZJ3T";1;2;1
"1101020023";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAD";"BANCO BRADESCO - AG. 3381 / C.C. 5075";"48";"20250228PHYYBI0QZJ3T";1;2;1
"1101020024";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAE";"SANTANDER 603004";"49";"20250228PHYYBI0QZJ3T";1;2;1
"1101020025";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAF";"BANCO BRADESCO AG. 3381-2 / C.C. 473-1 SP";"50";"20250228PHYYBI0QZJ3T";1;2;1
"1101020026";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAG";"BANCO ITAU C/C 23148-3";"51";"20250228PHYYBI0QZJ3T";1;2;1
"1101020027";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZAH";"SAFRA AG. 2800 C/C 018724-6";"52";"20250228PHYYBI0QZJ3T";1;2;1
